record_label,artist,song_title,release_year,page_views,raw_lyrics,sentiment_category,confidence_score
HYBE,BTS,Dynamite,Unknown,4796869,"'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight

Shoes on, get up in the morn'
Cup of milk, let's rock and roll
King Kong, kick the drum
Rolling on like a Rolling Stone
Sing-song when I'm walkin' home
Jump up to the top, LeBron
Ding-dong, call me on my phone
Ice tea and a game of ping pong

This is gettin' heavy, can you hear the bass boom? I'm ready (Woo-hoo)
Life is sweet as honey, yeah, this beat cha-ching like money, huh
Disco overload, I'm into that, I'm good to go
I'm diamond, you know I glow up
Hey, so let's go

'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight (Hey)
Shinin' through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh

Bring a friend, join the crowd, 
whoever wanna come along
Word up
, talk the talk, 
just move like we off the wall
Day or night, the sky's alight, so we dance to the break of dawn (Hey)
Ladies and gentlemen, I got the medicine, so you should keep ya eyes on the ball (Huh)

This is gettin' heavy, can you hear the bass boom? I'm ready (Woo-hoo)
Life is sweet as honey, yeah, this beat cha-ching like money, huh
Disco overload, I'm into that, I'm good to go
I'm diamond, you know I glow up
Let's go

'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight (Hey)
Shinin' through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh

Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite
Shinin' through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh
[Bridge: Jung Kook, Jimin, Jin,  
V ]
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Light it up like dynamite
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Light it up like dynamite

'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight
Shinin' through the city with a little funk and soul
So I'ma light it up like dynamite
(This is ah) 'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight (Alight, oh)
Shinin' through the city with a little funk and soul
So I'ma light (Light) it (It) up (Up) like (Like) dynamite (Dynamite), woah-oh-oh

Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite (Life is dynamite)
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite (Oh)
Shinin' through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh",Very Positive,0.8425
HYBE,BTS,Butter,Unknown,3734149,"Smooth like butter
Like a criminal undercover
Gon' pop like trouble
Breakin' into your heart like that (Ooh)
Cool shade stunner
Yeah, I owe it all to my mother
Hot like summer
Yeah, I'm makin' you sweat like that
Break it down

Ooh, when I look in the mirror
I'll melt your heart into two
I got that superstar glow so (Ooh)
Do the boogie like

Side step, right, left to my beat
High like the moon, rock with me, baby
Know that I got that heat
Let me show you 'cause talk is cheap
Side step, right, left to my beat
Get it, let it roll

Smooth like butter
Pull you in like no other
Don't need no Usher
To remind me you got it bad
Ain't no other
That can sweep you up like a robber
Straight up, I got ya
Makin' you fall like that
Break it down

Ooh, when I look in the mirror
I'll melt your heart into two
I got that superstar glow so (Ooh)
Do the boogie like

Side step, right, left to my beat
High like the moon, rock with me, baby
Know that I got that heat
Let me show you 'cause talk is cheap
Side step, right, left to my beat
Get it, let it roll

Get it, let it roll
Get it, let it roll

Ice on my wrist, I'm the nice guy
Got the right body and the right mind
Rollin' up to party, got the right vibe
Smooth like (Butter), hate us (Love us)
Fresh boy pull up and we lay low
All the playas get movin' when the bass low
Got ARMY right behind us when we say so
Let's go

Side step, right, left to my beat (Right, left to my beat)
High like the moon, rock with me, baby
Know that I got that heat
Let me show you 'cause talk is cheap
 (
You know that talk is cheap
)
Side step, right, left to my beat
Get it, let it roll
[Post-Chorus: j-hope, 
j-hope & RM
, 
RM
, 
All
]
Smooth like (
Butter
), cool shade (
Stunner
)
And you know 
we don't stop
Hot like (Summer), ain't no (Bummer)
You be like, ""Oh my God""
We gon' make you rock and you say (Yeah)
We gon' make you bounce and you say (Yeah)
Hotter, sweeter, cooler, butter

Get it, let it roll",Very Positive,0.7872
HYBE,BTS,FAKE LOVE,Unknown,1435474,"널 위해서라면 난
슬퍼도 기쁜 척 할 수가 있었어
널 위해서라면 난
아파도 강한 척 할 수가 있었어
사랑이 사랑만으로 완벽하길
내 모든 약점들은 다 숨겨지길
이뤄지지 않는 꿈속에서
피울 수 없는 꽃을 키웠어

I'm so sick of this fake love
Fake love, fake love
I'm so sorry, but it's fake love
Fake love, fake love

I wanna be a good man just for you
세상을 줬네 just for you
전부 바꿨어 just for you
Now I don't know me, who are you?
Hey, 우리만의 숲 너는 없었어
내가 왔던 route 잊어버렸어
나도 내가 누구였는지도 잘 모르게 됐어
거울에다 지껄여봐, 너는 대체 누구니?

널 위해서라면 난
슬퍼도 기쁜 척 할 수가 있었어
널 위해서라면 난
아파도 강한 척 할 수가 있었어
사랑이 사랑만으로 완벽하길
내 모든 약점들은 다 숨겨지길
이뤄지지 않는 꿈속에서
피울 수 없는 꽃을 키웠어

Love you so bad, love you so bad
널 위해 예쁜 거짓을 빚어내
Love, it's so mad, love, it's so mad
날 지워 너의 인형이 되려 해
Love you so bad, love you so bad
널 위해 예쁜 거짓을 빚어내
Love, it's so mad, love, it's so mad
날 지워 너의 인형이 되려 해

I'm so sick of this fake love
Fake love, fake love
I'm so sorry, but it's fake love
Fake love, fake love

Why you sad? I don't know, 난 몰라
웃어봐, 사랑해 말해봐
나를 봐, 나조차도 버린 나 (Oh, no)
너조차 이해할 수 없는 나
낯설다 하네, 네가 좋아하던 나로 변한 내가
아니라 하네, 예전에 네가 잘 알고 있던 내가
아니긴 뭐가 아냐, 난 눈 멀었어
사랑은 뭐가 사랑? It's all fake love

Ooh, I don't know, I don't know, I don't know why
Ooh, 나도 날, 나도 날 모르겠어
Ooh, I just know, I just know, I just know why
'Cause it's all fake love, fake love, fake love

Love you so bad, love you so bad
널 위해 예쁜 거짓을 빚어내
Love, it's so mad, love, it's so mad
날 지워 너의 인형이 되려 해
Love you so bad, love you so bad
널 위해 예쁜 거짓을 빚어내
Love, it's so mad, love, it's so mad
날 지워 너의 인형이 되려 해

I'm so sick of this fake love
Fake love, fake love
I'm so sorry, but it's fake love
Fake love, fake love

널 위해서라면 난
슬퍼도 기쁜 척 할 수가 있었어
널 위해서라면 난
아파도 강한 척 할 수가 있었어
사랑이 사랑만으로 완벽하길
내 모든 약점들은 다 숨겨지길
이뤄지지 않는 꿈속에서
피울 수 없는 꽃을 키웠어",Very Positive,0.8055
HYBE,BTS,MIC Drop (Steve Aoki Remix),Unknown,1286341,"Yeah, 누가 내 수저 더럽대
I don't care, 마이크 잡음 금수저 여럿 패
버럭해 (Wood) 잘 못 익은 것들 스테끼 여러 개
거듭해서 씹어줄게 스타의 저녁에 (Yah, woo, woo)
World business (Bang, bang) 핵심
섭외 1순위 (Clap, clap) 매진
많지 않지 이 class 가칠 만끽
좋은 향기에 악췬 반칙 (I go) mic, mic bungee (Yo)

Mic, mic bungee (Oh, yeah), bright light 전진 (Oh, yeah)
망할 거 같았겠지만, I'm fine, sorry (Sorry)
미안해 Billboard (Uh, uh), 미안해 worldwide (Uh, uh)
아들이 넘 잘나가서 미안해 엄마
대신해줘 니가 못한 효도 (효도)
우리 콘서트 절대 없어 포도 (포도)
I do it, I do it, 넌 맛없는 라따뚜이
혹 배가 아프다면 고소해 (고소해), sue it

Did you see my bag? (Bag?) Did you see my bag? (Bag?)
It's hella trophies and it's hella thick (Hella thick, hella thick)
What you think 'bout that? (That?) What you think 'bout that? (That?)
I bet it got my haters hella sick (Hella sick)
Come and follow me, follow me with your signs up (Oh)
I'm so firin', firin', boy, your time's up (Oh)
Keep on runnin' and runnin' until I catch up (Oh)
How you dare? How you dare? How you da-dare?

Another trophy, my hands carry 'em (Yeah)
Too many that I can't even count 'em (Turn it up now)
Mic drop, mic drop
발발 조심 너네 말말 조심
Somebody stop me, I'm 'boutta pop off (Pop)
Too busy, you know my body ain't enough (Turn it up now)
Mic drop, mic drop
*발발 조심 너네 말말 조심*

Baby, watch your mouth (Mouth), it come back around ('Round)
Once upon a time (Time), we learnt how to fly (Fly)
Go look at your mirror (Woo), same damn clothes (Yeah)
You know how I feel (Woo), 개행복 (Turn up)
How many hours do we fly? (Ooh)
I keep on dreamin' on the cloud (Hey)
Yeah, I'm on the mountain, yeah, I'm on the bay (Pop)
Everyday we vibin', mic drop, bam

Did you see my bag? (Bag?) Did you see my bag? (Bag?)
It's hella trophies and it's hella thick (Hella thick, hella thick)
What you think 'bout that? (That?) What you think 'bout that? (That?)
I bet it got my haters hella sick (Hella sick)
Come and follow me, follow me with your signs up (Oh)
I'm so firin', firin', boy, your time's up (Oh)
Keep on runnin' and runnin' until I catch up (Oh)
How you dare? How you dare? How you da-dare?

Another trophy, my hands carry 'em (Yeah)
Too many that I can't even count 'em (Turn it up now)
Mic drop, mic drop
발발 조심 너네 말말 조심
Somebody stop me, I'm 'boutta pop off (Pop)
Too busy, you know my body ain't enough (Turn it up now)
Mic drop, mic drop
*발발 조심 너네 말말 조심*

Haters gon' hate
Players gon' play
Live a life, man, yah
Good luck

더 볼 일 없어 마지막 인사야
할 말도 없어 사과도 하지 마
더 볼 일 없어 마지막 인사야
할 말도 없어 사과도 하지 마
잘 봐 넌 그 꼴 나지
우린 탁 쏴 마치 콜라지
너의 각막 깜짝 놀라지
꽤 꽤 폼나지 (폼나지) 포 포 폼나지, yeah (폼나지, yeah)",Very Positive,0.5693
HYBE,BTS,Permission to Dance,Unknown,1203127,"It's the thought of being young
When your heart's just like a drum
Beating louder with no way to guard it
When it all seems like it's wrong
Just sing along to Elton John
And to that feeling, we're just getting started

When the nights get colder
And the rhythms got you falling behind
Just dream about that moment
When you look yourself right in the eye, eye, eye
Then you say

I wanna dance
The music's got me going
Ain't nothing that can stop how we move, yeah
Let's break our plans
And live just like we're golden
And roll in like we're dancing fools

We don't need to worry
'Cause when we fall, we know how to land
Don't need to talk the talk, just walk the walk tonight
'Cause we don't need permission to dance

There's always something that's standing in the way
But if you don't let it faze ya
You'll know just how to break
Just keep the right vibe, yeah
'Cause there's no looking back
There ain't no one to prove
We don't got this on lock (Yeah)

The wait is over
The time is now so let's do it right, mm (Yeah)
Yeah, we'll keep going
And stay up until we see the sunri-i-ise (Yeah)
And we'll say

I wanna dance
The music's got me going
Ain't nothing that can stop how we move, yeah
Let's break our plans
And live just like we're golden
And roll in like we're dancing fools

We don't need to worry
'Cause when we fall, we know how to land
Don't need to talk the talk, just walk the walk tonight
'Cause we don't need permission to dance

Da-na-na-na-na-na-na
Da-na-na-na-na-na-na
Da-na-na-na-na-na-na
No, we don't need permission to dance
Da-na-na-na-na-na-na (Hey)
Da-na-na-na-na-na-na
Da-na-na-na-na-na-na

Well, let me show ya
That we can keep the fire alive, mm
'Cause it's not over
'Til it's over, say it one more time
Say

I wanna dance
The music's got me going (Music's got me going)
Ain't nothing that can stop how we move, yeah (Hey, yeah)
Let's break our plans
And live just like we're golden (Ooh)
And roll in like we're dancing fools (Like we're dancing fools)

We don't need to worry
'Cause when we fall, we know how to land (We know how to land)
Don't need to talk the talk, just walk the walk tonight (Ooh)
'Cause we don't need permission to dance",Very Positive,0.3669
HYBE,BTS,SWIM,Unknown,1180619,"Swim, swim
Water falling off your skin
Swim, swim
I could spend a lifetime watching you
Swim, swim
This is how it all begins
Swim, swim
I just wanna dive, I just wanna dive

Bad world, gone away and I still wake up in this mad world
Name a place that I could breathe on this map, world
Lookin' like a goody, goody in this bad world, bad world
Don't know how to act, girl
I'm in the deep, tell me, where the hell you at, girl?
Oh, you ain't even gotta love me bad, girl
You know that I'm never holdin' back, girl
Yeah

So easy, don't make it so hard
Nights like these, I just wanna get lost
Right here with the moon and the sharks
I ain't gotta think 'bout a thing, baby, I just

Swim, swim
Water falling off your skin
Swim, swim
I could spend a lifetime watching you
Swim (Swim), swim (Swim)
This is how it all begins
Swim, swim
I just wanna dive, I just wanna dive

Water, water so deep, water so deep
Take it off the ground, I ain't never gettin' cold feet
Yeah, you know me, yeah, you know me
Sittin' on the shore, now I'm ready for the whole sea
I can feel the high waves comin' (Yeah)
Why you run away? You can run in (Yeah)
Salt on my tongue, she's stunnin' (Yeah)
You're the only place that I wanna be, yeah

Swim, swim
Water falling off your skin
Swim, swim
I could spend a lifetime watching you
Swim (Swim), swim (Swim)
This is how it all begins
Swim, swim
I just wanna dive, I just wanna dive (Hey)

Splash (Splash), drift (Drift)
I make waves with my two fins (Two fins)
Splash (Woo), drip (Drip)
I just wanna take it across the line
Under here, we don't chase the time
Baby, everything can't be so sad (Too sad)
Turn my face from the land (Sad)
I just wanna dive, I just wanna dive

Swim, swim
Water falling off your skin
Swim, swim
I could spend a lifetime watching you
Swim (Swim), swim (Swim)
Let it all begin
Swim, swim
I just wanna dive, I just wanna dive",Very Positive,0.8305
HYBE,BTS,봄날 (Spring Day),Unknown,1137809,"[Verse 1: RM, 
RM & Jung Kook
]
보고 싶다
이렇게 말하니까 더 보고 싶다
너희 사진을 보고 있어도
보고 싶다
너무 야속한 시간, 나는 우리가 밉다
이젠 얼굴 한 번 보는 것조차 힘들어진 우리가
여긴 온통 겨울 뿐이야, 팔월에도 겨울이 와
마음은 시간을 달려가네, 홀로 남은 설국열차
네 손 잡고 지구 반대편까지 가, 겨울을 끝내고파
그리움들이 얼마나 눈처럼 내려야 그 봄날이 올까, friend?

허공을 떠도는 작은
먼지처럼, 작은 먼지처럼
날리는 눈이 나라면
조금 더 빨리 네게
닿을 수 있을 텐데

눈꽃이 떨어져요
또 조금씩 멀어져요
보고 싶다 (보고 싶다)
보고 싶다 (보고 싶다)
얼마나 기다려야
또 몇 밤을 더 새워야
널 보게 될까? (널 보게 될까?)
만나게 될까? (만나게 될까? Ooh-ooh-ooh)

추운 겨울 끝을 지나
다시 봄날이 올 때까지
꽃 피울 때까지
그곳에 좀 더 머물러줘, 머물러줘
[Verse 2: SUGA, 
Jimin
]
네가 변한 건지 (네가 변한 건지)
아니면 내가 변한 건지 (아니면 내가 변한 건지)
이 순간 흐르는 시간조차 미워
우리가 변한 거지, 뭐? 모두가 그런 거지, 뭐?
그래, 밉다 네가, 넌 떠났지만
단 하루도 너를 잊은 적이 없었지 난
솔직히 보고 싶은데, 이만 너를 지울게
그게 널 원망하기보단 덜 아프니까

시린 널 불어내 본다
연기처럼, 하얀 연기처럼
말로는 지운다 해도
사실 난 아직 널 보내지 못하는데

눈꽃이 떨어져요
또 조금씩 멀어져요
보고 싶다 (보고 싶다)
보고 싶다 (보고 싶다)
얼마나 기다려야
또 몇 밤을 더 새워야
널 보게 될까? (널 보게 될까?)
만나게 될까? (만나게 될까? Ah-ah-ah-ah, ah)
[Bridge: V, 
Jung Kook
, 
Jung Kook & Jimin
]
You know it all, you're my best friend
아침은 다시 올 거야
어떤 어둠도, 어떤 계절도
영원할
 
순 없으니까

벚꽃이 피나 봐요
이 겨울도 끝이 나요
보고 싶다 (보고 싶다)
보고 싶다 (보고 싶다)
조금만 기다리면 (기다리면)
며칠 밤만 더 새우면
만나러 갈게 (만나러 갈게)
데리러 갈게 (*데리러 갈게, yeah, yeah*)

추운 겨울 끝을 지나
다시 봄날이 올 때까지
꽃 피울 때까지
그곳에 좀 더 머물러줘, 머물러줘",Very Negative,0.8058
HYBE,BTS,전하지 못한 진심 (The Truth Untold),Unknown,1055271,"외로움이 가득히
피어있는 이 garden
가시투성이
이 모래성에 난 날 매었어
너의 이름은 뭔지
갈 곳이 있긴 한지
Oh, could you tell me?
이 정원에 숨어든 널 봤어

And I know
너의 온긴 모두 다 진짜란 걸
푸른 꽃을 꺾는 손
잡고 싶지만

내 운명인 걸
Don't smile to me, light on me
너에게 다가설 수 없으니까
내겐 불러줄 이름이 없어
You know that I can't
Show you me, give you me
초라한 모습 보여줄 순 없어
또 가면을 쓰고 널 만나러 가
But I still want you

외로움의 정원에 핀
너를 닮은 꽃
주고 싶었지 (Ooh, ooh, ooh)
바보 같은 가면을 벗고서

But I know
영원히 그럴 수는 없는 걸
숨어야만 하는 걸
추한 나니까

난 두려운 걸
초라해, I'm so afraid
결국엔 너도 날 또 떠나버릴까
또 가면을 쓰고 널 만나러 가
할 수 있는 건
정원에 이 세상에
예쁜 너를 닮은 꽃을 피운 다음
니가 아는 나로 숨쉬는 것
But I still want you

Ooh, ooh
I still want you
Ooh

어쩌면 그때
조금만 이만큼만
용길 내서 너의 앞에 섰더라면
지금 모든 건 달라졌을까?
난 울고 있어 (Ooh)
사라진 무너진 (Ooh, ooh, woah, woah, woah, oh)
홀로 남겨진 이 모래성에서 (모래성에서, oh)
부서진 가면을 바라보면서
And I still want you

(Ooh, ooh, ooh, ooh)
(But I still want you)
(Ooh, ooh, ooh, ooh)
(But I still want you)
And I still want you",Very Negative,0.5412
HYBE,BTS,NORMAL,Unknown,947056,"Kerosene, dopamine, chemical-induced
Fantasy and fame, yeah, the things we choose
Show me hate, show me love, make me bulletproofYeah, we call this shit normal (Woo-woo)
Run away, out of sight, don't know what I want
Wish I had a minute just to turn me off
Kerosene, dopamine, what I gotta do?
Yeah, we call this shit normal (Ah-ooh)

Heavy is the head when you chasin' true
Will you color me red? Will you color me blue?
Two sides of a coin, and they both ain't true
Is it different for mе? Is it different for you?

Got me feelin' things unusual
And I livе 'em all
Got me and my feelings up on this wall
And my knees-ees

Kerosene, dopamine, chemical-induced
Fantasy and fame, yeah, the things we choose
Show me hate, show me love, make me bulletproof
Yeah, we call this shit normal (Woo-woo)
Run away, out of sight, don't know what I want
Wish I had a minute just to turn me off
Kerosene, dopamine, what I gotta do?
Yeah, we call this shit normal (Ah-ooh)

How I'm 'posed to feel?
Used to think that I was built with a heart made of steel
Now I understand the truth, some pain don't heal
If everything's just happy, mm, that ain't real (That ain't real)
I breathe everything out like a thousand times
Normal and special, they are just some lines
One deep sigh, then it slips away, fades away
What I try to keep never want to stay
Runaway, pushin' me, pullin' me, said you wanted all of me
But what is even all of me?
Suddenly, part of me is hauntin' me, heard the things they callin' me
What the hell you want from me? (Want from me)

Got me feelin' things unusual
And I live 'em all
Got me and my feelings up on this wall
And my knees-ees

Kerosene, dopamine, chemical-induced
Fantasy and fame, yeah, the things we choose
Show me hate, show me love, make me bulletproof
Yeah, we call this shit normal (Woo-woo)
Run away, out of sight, don't know what I want
Wish I had a minute just to turn me off
Kerosene, dopamine, what I gotta do?
Yeah, we call this shit normal (Ah-ooh)

No, we, no, we, no, we call this shit normal
No, we, no, we, no, we call this shit normal, yeah
No, we, no, we, no, we call this shit normal",Very Positive,0.651
HYBE,BTS,DNA,Unknown,856100,"첫눈에 널 알아보게 됐어 (Hmm-mm)
서롤 불러왔던 것처럼 (Ooh, ooh-ooh-ooh-ooh)
내 혈관 속 DNA가 말해줘 (Hmm-mm)
내가 찾아 헤매던 너라는 걸 (Ooh, ooh-ooh-ooh-ooh)
우리 만남은
 (
만남은
)
수학의 공식
 (
수학의 공식
)
종교의 율법
 (
율법
)
우주의 섭리
 (
우주의 섭리
)
내게 주어진 운명의 증거 (처)
너는 내 꿈의 출처 (처)
Take it, take it
너에게 내민 내 손은 정해진 숙명

걱정하지 마, love
이 모든 건 우연이 아니니까
우린 완전 달라, baby
운명을 찾아낸 둘이니까

우주가 생긴 그 날부터 계속 (계속)
무한의 세기를 넘어서 계속 (계속, 계속, yah)
우린 전생에도 (우린 전생에도)
아마 다음 생에도 (아마 다음 생에도)
영원히 함께니까

(DNA)
이 모든 건 우연이 아니니까
(DNA)
운명을 찾아낸 둘이니까, DNA

I want it, this love (This love)
I-I want it, real love (Real love)
난 너에게만 집중해, 좀 더 세게 날 이끄네
태초의 DNA (DNA)
가 널 원하는데 (하는데)
이건 필연이야 I love us (Love us)
우리만이 true lovers (Lovers)
그녀를 볼 때마다 소스라치게 놀라
신기하게 자꾸만 숨이 멎는 게 참 이상해 설마
이런 게 말로만 듣던 사랑이란 감정일까 (Oh, yeah)
애초부터 내 심장은 널 향해 뛰니까

걱정하지 마, love
이 모든 건 우연이 아니니까
우린 완전 달라, baby
운명을 찾아낸 둘이니까

우주가 생긴 그 날부터 계속 (계속)
무한의 세기를 넘어서 계속 (계속, 계속, yah)
우린 전생에도 (우린 전생에도)
아마 다음 생에도 (아마 다음 생에도)
영원히 함께니까

(DNA)
이 모든 건 우연이 아니니까
(DNA)
운명을 찾아낸 둘이니까, DNA

돌아보지 말아
운명을 찾아낸 우리니까
후회하지 말아, baby
영원히, 영원히, 영원히
영원히 (영원히) 함께니까

걱정하지 마, love (Oh-oh-oh)
이 모든 건 우연이 아니니까
우린 완전 달라, baby
운명을 찾아낸 둘이니까, DNA

La-la-la-la-la, la-la-la-la-la
우연이 아니니까, DNA
La-la-la-la-la, la-la-la-la-la
우연이 아니니까, DNA",Very Positive,0.6379
